Datos que encuentra el metodo de Runge Kutta(variable ind.	 variable dep.	 numero de thread)
0.023876	 0.809630 	 numero de thread:2
0.023939	 0.809695 	 numero de thread:2
0.024002	 0.809759 	 numero de thread:2
0.024065	 0.809824 	 numero de thread:2
0.024127	 0.809889 	 numero de thread:2
0.024190	 0.809953 	 numero de thread:2
0.024253	 0.810018 	 numero de thread:2
0.024316	 0.810083 	 numero de thread:2
0.024379	 0.810148 	 numero de thread:2
0.024442	 0.810212 	 numero de thread:2
0.024504	 0.810277 	 numero de thread:2
0.024567	 0.810342 	 numero de thread:2
0.024630	 0.810406 	 numero de thread:2
0.024693	 0.810471 	 numero de thread:2
0.024756	 0.810536 	 numero de thread:2
0.024819	 0.810601 	 numero de thread:2
0.024881	 0.810665 	 numero de thread:2
0.024944	 0.810730 	 numero de thread:2
0.025007	 0.810795 	 numero de thread:2
0.025070	 0.810860 	 numero de thread:2
0.025133	 0.810925 	 numero de thread:2
0.025196	 0.810989 	 numero de thread:2
0.025258	 0.811054 	 numero de thread:2
0.025321	 0.811119 	 numero de thread:2
0.025384	 0.811184 	 numero de thread:2
0.025447	 0.811249 	 numero de thread:2
0.025510	 0.811313 	 numero de thread:2
0.025573	 0.811378 	 numero de thread:2
0.025635	 0.811443 	 numero de thread:2
0.025698	 0.811508 	 numero de thread:2
0.025761	 0.811573 	 numero de thread:2
0.025824	 0.811637 	 numero de thread:2
0.025887	 0.811702 	 numero de thread:2
0.025950	 0.811767 	 numero de thread:2
0.026012	 0.811832 	 numero de thread:2
0.026075	 0.811897 	 numero de thread:2
0.026138	 0.811962 	 numero de thread:2
0.026201	 0.812026 	 numero de thread:2
0.026264	 0.812091 	 numero de thread:2
0.026327	 0.812156 	 numero de thread:2
0.026389	 0.812221 	 numero de thread:2
0.026452	 0.812286 	 numero de thread:2
0.026515	 0.812351 	 numero de thread:2
0.026578	 0.812416 	 numero de thread:2
0.026641	 0.812481 	 numero de thread:2
0.026704	 0.812546 	 numero de thread:2
0.026766	 0.812610 	 numero de thread:2
0.026829	 0.812675 	 numero de thread:2
0.026892	 0.812740 	 numero de thread:2
0.026955	 0.812805 	 numero de thread:2
0.027018	 0.812870 	 numero de thread:2
0.027081	 0.812935 	 numero de thread:2
0.027143	 0.813000 	 numero de thread:2
0.027206	 0.813065 	 numero de thread:2
0.027269	 0.813130 	 numero de thread:2
0.027332	 0.813195 	 numero de thread:2
0.027395	 0.813260 	 numero de thread:2
0.027458	 0.813325 	 numero de thread:2
0.027520	 0.813390 	 numero de thread:2
0.027583	 0.813455 	 numero de thread:2
0.027646	 0.813519 	 numero de thread:2
0.027709	 0.813584 	 numero de thread:2
0.027772	 0.813649 	 numero de thread:2
0.027835	 0.813714 	 numero de thread:2
0.027897	 0.813779 	 numero de thread:2
0.027960	 0.813844 	 numero de thread:2
0.028023	 0.813909 	 numero de thread:2
0.028086	 0.813974 	 numero de thread:2
0.028149	 0.814039 	 numero de thread:2
0.028212	 0.814104 	 numero de thread:2
0.028274	 0.814169 	 numero de thread:2
0.028337	 0.814234 	 numero de thread:2
0.028400	 0.814299 	 numero de thread:2
0.028463	 0.814364 	 numero de thread:2
0.028526	 0.814429 	 numero de thread:2
0.028588	 0.814495 	 numero de thread:2
0.028651	 0.814560 	 numero de thread:2
0.028714	 0.814625 	 numero de thread:2
0.028777	 0.814690 	 numero de thread:2
0.028840	 0.814755 	 numero de thread:2
0.028903	 0.814820 	 numero de thread:2
0.028965	 0.814885 	 numero de thread:2
0.029028	 0.814950 	 numero de thread:2
0.029091	 0.815015 	 numero de thread:2
0.029154	 0.815080 	 numero de thread:2
0.029217	 0.815145 	 numero de thread:2
0.029280	 0.815210 	 numero de thread:2
0.029342	 0.815275 	 numero de thread:2
0.029405	 0.815340 	 numero de thread:2
0.029468	 0.815405 	 numero de thread:2
0.029531	 0.815471 	 numero de thread:2
0.029594	 0.815536 	 numero de thread:2
0.029657	 0.815601 	 numero de thread:2
0.029719	 0.815666 	 numero de thread:2
0.029782	 0.815731 	 numero de thread:2
0.029845	 0.815796 	 numero de thread:2
0.029908	 0.815861 	 numero de thread:2
0.029971	 0.815926 	 numero de thread:2
0.030034	 0.815992 	 numero de thread:2
0.030096	 0.816057 	 numero de thread:2
0.030159	 0.816122 	 numero de thread:2
0.030222	 0.816187 	 numero de thread:2
0.030285	 0.816252 	 numero de thread:2
0.030348	 0.816317 	 numero de thread:2
0.030411	 0.816383 	 numero de thread:2
0.030473	 0.816448 	 numero de thread:2
0.030536	 0.816513 	 numero de thread:2
0.030599	 0.816578 	 numero de thread:2
0.030662	 0.816643 	 numero de thread:2
0.030725	 0.816708 	 numero de thread:2
0.030788	 0.816774 	 numero de thread:2
0.030850	 0.816839 	 numero de thread:2
0.030913	 0.816904 	 numero de thread:2
0.030976	 0.816969 	 numero de thread:2
0.031039	 0.817035 	 numero de thread:2
0.031102	 0.817100 	 numero de thread:2
0.031165	 0.817165 	 numero de thread:2
0.031227	 0.817230 	 numero de thread:2
0.031290	 0.817295 	 numero de thread:2
0.031353	 0.817361 	 numero de thread:2
0.031416	 0.817426 	 numero de thread:2
0.031479	 0.817491 	 numero de thread:2
0.031542	 0.817556 	 numero de thread:2
0.031604	 0.817622 	 numero de thread:2
0.031667	 0.817687 	 numero de thread:2
0.031730	 0.817752 	 numero de thread:2
0.031793	 0.817817 	 numero de thread:2
0.031856	 0.817883 	 numero de thread:2
0.031919	 0.817948 	 numero de thread:2
0.031981	 0.818013 	 numero de thread:2
0.032044	 0.818079 	 numero de thread:2
0.032107	 0.818144 	 numero de thread:2
0.032170	 0.818209 	 numero de thread:2
0.032233	 0.818275 	 numero de thread:2
0.032296	 0.818340 	 numero de thread:2
0.032358	 0.818405 	 numero de thread:2
0.032421	 0.818470 	 numero de thread:2
0.032484	 0.818536 	 numero de thread:2
0.032547	 0.818601 	 numero de thread:2
0.032610	 0.818666 	 numero de thread:2
0.032673	 0.818732 	 numero de thread:2
0.032735	 0.818797 	 numero de thread:2
0.032798	 0.818862 	 numero de thread:2
0.032861	 0.818928 	 numero de thread:2
0.032924	 0.818993 	 numero de thread:2
0.032987	 0.819059 	 numero de thread:2
0.033050	 0.819124 	 numero de thread:2
0.033112	 0.819189 	 numero de thread:2
0.033175	 0.819255 	 numero de thread:2
0.033238	 0.819320 	 numero de thread:2
0.033301	 0.819385 	 numero de thread:2
0.033364	 0.819451 	 numero de thread:2
0.033427	 0.819516 	 numero de thread:2
0.033489	 0.819582 	 numero de thread:2
0.033552	 0.819647 	 numero de thread:2
0.033615	 0.819712 	 numero de thread:2
0.033678	 0.819778 	 numero de thread:2
0.033741	 0.819843 	 numero de thread:2
0.033804	 0.819909 	 numero de thread:2
0.033866	 0.819974 	 numero de thread:2
0.033929	 0.820039 	 numero de thread:2
0.033992	 0.820105 	 numero de thread:2
0.034055	 0.820170 	 numero de thread:2
0.034118	 0.820236 	 numero de thread:2
0.034181	 0.820301 	 numero de thread:2
0.034243	 0.820367 	 numero de thread:2
0.034306	 0.820432 	 numero de thread:2
0.034369	 0.820498 	 numero de thread:2
0.034432	 0.820563 	 numero de thread:2
0.034495	 0.820629 	 numero de thread:2
0.034558	 0.820694 	 numero de thread:2
0.034620	 0.820760 	 numero de thread:2
0.034683	 0.820825 	 numero de thread:2
0.034746	 0.820890 	 numero de thread:2
0.034809	 0.820956 	 numero de thread:2
0.034872	 0.821021 	 numero de thread:2
0.034935	 0.821087 	 numero de thread:2
0.034997	 0.821152 	 numero de thread:2
0.035060	 0.821218 	 numero de thread:2
0.035123	 0.821284 	 numero de thread:2
0.035186	 0.821349 	 numero de thread:2
0.035249	 0.821415 	 numero de thread:2
0.035312	 0.821480 	 numero de thread:2
0.035374	 0.821546 	 numero de thread:2
0.035437	 0.821611 	 numero de thread:2
0.035500	 0.821677 	 numero de thread:2
0.035563	 0.821742 	 numero de thread:2
0.035626	 0.821808 	 numero de thread:2
0.035688	 0.821873 	 numero de thread:2
0.035751	 0.821939 	 numero de thread:2
0.035814	 0.822004 	 numero de thread:2
0.035877	 0.822070 	 numero de thread:2
0.035940	 0.822136 	 numero de thread:2
0.036003	 0.822201 	 numero de thread:2
0.036065	 0.822267 	 numero de thread:2
0.036128	 0.822332 	 numero de thread:2
